S&P GSCI PET MON TOTAL RETURN,,,S&P GSCI GOLD MON TOTAL RETURN,,,,ICE LIBOR USD 3M,,S&P500,,,__&____ __,____,_____,____(%),,____,____,_____,____(%)
11/30/2011,2518.15,,11/30/2011,964.48,,11/30/2011,0.52889,,11/30/2011,1246.96,,BANE RM Equity,6.56T,113.15B,0.86,,SMF CN Equity,1.04T,292.70B,100
10/31/2011,2413.16,,10/31/2011,951.95,,10/31/2011,0.42944,,10/31/2011,1253.3,,NFX US Equity,5.98T,2.00T,100,,HAR SJ Equity,932.19B,1.61T,100
09/30/2011,2140.61,,09/30/2011,895.15,,09/30/2011,0.37433,,09/30/2011,1131.42,,INARA CZ Equity,5.80T,759.34B,21.61,,TXG CN Equity,920.66B,355.88B,100
08/31/2011,2395.08,,08/31/2011,1010.68,,08/31/2011,0.32722,,08/31/2011,1218.89,,SNP RO Equity,5.64T,6.70T,100,,SSL CN Equity,914.02B,77.16B,100
07/29/2011,2503.66,,07/29/2011,900.01,,07/29/2011,0.2555,,07/29/2011,1292.28,,MUR US Equity,5.63T,2.51T,106.07,,ACA LN Equity,862.01B,841.16B,99.04
06/30/2011,2453.69,,06/30/2011,830.23,,06/30/2011,0.24575,,06/30/2011,1320.64,,CDEV US Equity,5.62T,485.10B,100,,ELD CN Equity,828.47B,442.34B,100
05/31/2011,2593.62,,05/31/2011,848.98,,05/31/2011,0.25288,,05/31/2011,1345.2,,VII CN Equity,5.24T,1.88T,100,,RSG AU Equity,811.00B,463.53B,100
04/29/2011,2842.85,,04/29/2011,860.51,,04/29/2011,0.273,,04/29/2011,1363.61,,TOU CN Equity,5.22T,1.36T,100,,GUY CN Equity,732.61B,225.44B,100
03/31/2011,2668.43,,03/31/2011,796.06,,03/31/2011,0.303,,03/31/2011,1325.83,,BBU-U CN Equity,4.96T,316.44B,1.23,,HGM LN Equity,713.47B,368.97B,100
02/28/2011,2489.85,,02/28/2011,780.24,,02/28/2011,0.3095,,02/28/2011,1327.22,,CPG CN Equity,4.96T,2.46T,100,,SOLG LN Equity,663.59B,,
01/31/2011,2362.25,,01/31/2011,738.43,,01/31/2011,0.30438,,01/31/2011,1286.12,,TLW LN Equity,4.83T,1.95T,100,,SEA CN Equity,654.48B,0,
12/31/2010,2294.74,,12/31/2010,787.51,,12/31/2010,0.30281,,12/31/2010,1257.64,,VET CN Equity,4.79T,891.57B,100,,NVO CN Equity,650.78B,,
11/30/2010,2117.78,,11/30/2010,767.85,,11/30/2010,0.30031,,11/30/2010,1180.55,,PTEN US Equity,4.76T,86.77B,3.25,,TMR CN Equity,615.58B,49.09B,100
10/29/2010,2054.8,,10/29/2010,753.16,,10/29/2010,0.28594,,10/29/2010,1183.26,,RDGZ KZ Equity,4.76T,2.49T,75.28,,GOR AU Equity,584.53B,0,
